Purchase ID,User ID,Product ID,Service,Cost
64945641,526540,763457,ProSupport,
81354292,859327,985473,Premium Support Plus,
31989537,887387,763457,Base Warranty,
54285732,779497,648367,ProSupport Plus, 
56959527,896517,985473,Premium Support,
55651117,220965,207552,ProSupport Plus,
73648582,220965,207552,ProSupport,
81957448,220965,207552,ProSupport One for Data Center,
32063863,721091,386534,Pro Support One for Data Center,
36117209,721091,386534,Optimize for Storage,
51726793,721091,386534,Service Account Manager(SAM),
91036226,721091,386534,Technical Account Manager(TAM),
51213611,721091,386534,Designated Support Engineer(DSE),
94215829,633636,457953,Pro Support,
85133348,823898,207552,ProSupport Flex,
29276981,413865,207552,Optimize for Storage,
81627567,439483,648367,PCAAS for Business,
51659187,809408,207552,Service Account Manager(SAM),
25148126,748190,207552,Technical Account Manager(TAM),
21278751,397283,457953,Base Warranty,
12853005,553684,207552,Designated Support Engineer(DSE),
67724547,495667,985473,Base Warranty,
62558095,936158,763457,Accidental Damage Service,
70563038,537591,648367,Tech Direct,
49282935,909018,985473,Warranty Extension,
93077158,878666,985473,FIX your PC,
67489288,995710,207552,PCAAS for Business,
36082857,511059,985473,Support Assist,
54254671,754455,207552,Dell Technologies Unified Workspace,
76790971,489275,207552,Tech Direct,
48497119,500905,985473,Tech Direct,
27491609,984409,457953,Optimize for Storage,
90526824,812053,207552,Secure Remote Services,
47712138,550206,648367,Secure Remote Services,
61851783,728053,207552,MyService360,
23014677,184257,207552,ProSupport Plus,
82376852,235295,648367,MyService360,
97091453,235295,648367,ProSupport Flex,
35118657,235295,386534,ProSupport Plus,
30473645,235295,386534,Pro Support One for Data Center,
76591471,235295,386534,Optimize for Storage,
54709646,235295,386534,Service Account Manager(SAM),
29633171,235295,386534,Technical Account Manager(TAM),
24780101,235295,386534,Designated Support Engineer(DSE),
57212704,767674,763457,Support Assist,
86201927,391837,763457,TechDirect,
36954763,466560,457953,Accidental Damage Service,
93447585,900756,648367,PCAAS for Business,
56566406,678628,207552,ProSupport,
11595963,492527,648367,Tech Direct,
23703056,886060,648367,Secure Remote Services,
36967889,366431,207552,ProSupport One for Data Center,
33411035,331297,648367,MyService360,
33202319,496541,207552,ProSupport Flex,
51054858,654617,648367,ProSupport Flex,
15572579,163409,207552,Optimize for Storage,
86864282,299088,386534,ProSupport Plus,
10953677,961442,985473,Secure Remote Services,
32255727,155097,457953,Keep Your Hard Drive,
31869974,976422,763457,FIX your PC,
71021879,138911,386534,Pro Support One for Data Center,
85488881,160938,207552,Service Account Manager(SAM),
64333844,399707,457953,Premium Support Plus,
36684785,713294,457953,Premium Support,
97492098,627298,207552,Technical Account Manager(TAM),
85621516,709884,985473,Accidental Damage Service,
29302270,932773,386534,Optimize for Storage,
83368861,796605,386534,Technical Account Manager(TAM),
56274858,885395,207552,Designated Support Engineer(DSE),
97318469,885395,207552,PCAAS for Business,
31953044,411503,386534,Service Account Manager(SAM),
43002606,622405,457953,Warranty Extension,
82858354,233136,457953,Support Assist,
13693390,170637,386534,Designated Support Engineer(DSE),
52058155,215719,763457,Warranty Extension,
73747173,452163,763457,Premium Support Plus,
56312973,572204,985473,Keep Your Hard Drive,
98223313,779517,985473,Premium Support Plus,
26904542,844157,457953,TechDirect,
22374362,312726,985473,Premium Support,
60326043,419549,207552,Dell Technologies Unified Workspace,
88540910,419549,207552,Tech Direct,
40760079,505927,207552,Secure Remote Services,
84565046,526254,207552,MyService360,
15004030,460226,386534,PCAAS for Business,
36757803,840113,985473,Base Warranty,
39622549,432820,985473,Warranty Extension,
74180314,957596,763457,Premium Support,
41907305,530134,985473,FIX your PC,
54684878,316372,457953,Pro Support,
64886589,501658,763457,Keep Your Hard Drive,
54488670,147133,207552,MyService360,
26236813,551149,386534,Tech Direct,
31719412,551149,386534,Secure Remote Services,
17071278,551149,386534,MyService360,
29606179,551149,386534,ProSupport Flex,
42733941,551149,386534,ProSupport Plus,
82765963,551149,386534,Pro Support One for Data Center,
77575314,595558,985473,Tech Direct,
25577623,637407,648367,Optimize for Storage,
97492419,597741,648367,Technical Account Manager(TAM),
41059388,403534,457953,Base Warranty,
65395368,314661,648367,Service Account Manager(SAM),
80474453,317987,763457,ProSupport,
15586226,820109,763457,Base Warranty,
25482766,388558,207552,MyService360,
61091578,403207,207552,ProSupport,
52552047,143711,457953,Optimize for Storage,
76264530,402180,207552,ProSupport,
65645432,242388,985473,Secure Remote Services,
11277943,819367,763457,Accidental Damage Service,
88019762,962291,207552,ProSupport,
74387512,856379,207552,Designated Support Engineer(DSE),
55035969,149972,207552,Designated Support Engineer(DSE),
